Dbg: 18939664 - 3856 | 560 496 132019-02-25T15:46:35;
Connected: COM2019-02-25T15:46:37;
Sending: p1264.257150802019-02-25T15:55:44;
Sending: p1159.68942363342019-02-25T15:55:45;
Sending: p1174.33802471772019-02-25T15:55:46;
Sending: p1279.50379212152019-02-25T15:55:47;
Sending: p1118.69377078932019-02-25T15:55:48;
Sending: p1275.01672300912019-02-25T15:55:49;
Sending: p1241.82489141752019-02-25T15:55:50;
Sending: p1274.27086264982019-02-25T15:55:52;
Sending: p1262.23066006102019-02-25T15:55:53;
Sending: p1198.64748922212019-02-25T15:55:54;
Sending: p1088.00533424822019-02-25T15:55:55;
Sending: p1190.41642055582019-02-25T15:55:56;
Sending: p1030.46002793302019-02-25T15:55:57;
Sending: p1121.37970471812019-02-25T15:55:58;
Sending: p1073.95979683252019-02-25T15:55:59;
Sending: p1058.3723220242019-02-25T15:56:00;
Sending: p1052.07131461222019-02-25T15:56:01;
Sending: p1106.16555070622019-02-25T15:56:02;
Sending: p1139.92433813332019-02-25T15:56:03;
Sending: p1052.80225148842019-02-25T15:56:04;
Sending: p1191.44256724462019-02-25T15:56:05;
Sending: p1251.2452995902019-02-25T15:56:06;
Sending: p1129.64671948772019-02-25T15:56:07;
Sending: p1223.0794403402019-02-25T15:56:08;
Sending: p1106.00927462022019-02-25T15:56:09;
Sending: p1168.81653575792019-02-25T15:56:10;
Sending: p1244.71428551522019-02-25T15:56:11;
Sending: p1166.65083590872019-02-25T15:56:13;
Sending: p1236.79055544242019-02-25T15:56:14;
Sending: p1169.65031087562019-02-25T15:56:15;
Sending: p1088.1586610632019-02-25T15:56:16;
Sending: p1030.88680050192019-02-25T15:56:17;
Sending: p1099.34768778582019-02-25T15:56:18;
Sending: p1122.3287442342019-02-25T15:56:19;
Sending: p1151.30532328072019-02-25T15:56:20;
